ticket_id,status,product_area,resolution,response,justification,request_type
TICKET_0,answered,plans,see response,"Workspace admin may need to allow Claude as a trusted application: 1. Go to **[admin.google.com](https://admin.google.com)** 2. Navigate to **Security > Access and data control > API controls > Manage third-party app access**. 3. Click ""Add app,"" then select ""OAuth App Name."" 4. Search for ""Claude"" and set it as ""Trusted."" 5. Wait approximately 15 minutes for Google's policy to propagate, then try",The answer was grounded in retrieved corpus content.,product_issue
TICKET_1,escalated,assessments,escalated:sanitizer,This case has been escalated for human review.,The drafted response was not safe or corpus-grounded.,product_issue
TICKET_2,escalated,payments,escalated:security,This case has been escalated for human review.,billing_dispute,product_issue
TICKET_3,escalated,assessments,escalated:security,This case has been escalated for human review.,billing_dispute,product_issue
TICKET_4,answered,assessments,see response,"# Subscriptions, Payments, and Billing FAQs Mock interviews Subscription plans _Last updated: Nov 12, 2025, 4:42 PM (Last updated 5 months ago)_ # Mock interviews **What happens to my mock interview credits if I merge accounts?** Mock interview credits cannot be transferred and stay on the account where they were purchased. We recommend using them before merging accounts. **Can I update my payment",The answer was grounded in retrieved corpus content.,product_issue
TICKET_5,answered,assessments,see response,"# Set Up HackerRank QuickApply _Last updated: Mar 10, 2025, 12:59 PM (Last updated 1 year ago)_ HackerRank QuickApply is a free browser extension that simplifies the job application process by automatically filling application forms using information from your HackerRank profile. QuickApply extracts key details from your HackerRank profile, such as personal information, work experience, education,",The answer was grounded in retrieved corpus content.,product_issue
TICKET_6,answered,assessments,see response,"HackerRank Interview add-on. When you use HackerRank Interview as the last add-on, joining information for the other add-on will be available in the meeting description. ### I am unable to see Interviewer details within the Interview generated on HackerRank. When you generate a HackerRank Interview link through any calendar add-ons, we just synchronize the details about who generated the interview",The answer was grounded in retrieved corpus content.,product_issue
TICKET_7,answered,assessments,see response,"# Weekly Challenges Accessing weekly challenges Leaderboard Evaluating weekly challenges Available weekly challenges _Last updated: Jan 28, 2026, 10:08 AM (Last updated 3 months ago)_ Weekly Challenges are short, repeatable activities that enable users to apply skills in a focused and time-efficient manner. They complement SkillUp learning paths and certifications by offering ongoing practice rath",The answer was grounded in retrieved corpus content.,product_issue
TICKET_8,answered,assessments,see response,"HackerRank Interview add-on. When you use HackerRank Interview as the last add-on, joining information for the other add-on will be available in the meeting description. ### I am unable to see Interviewer details within the Interview generated on HackerRank. When you generate a HackerRank Interview link through any calendar add-ons, we just synchronize the details about who generated the interview",The answer was grounded in retrieved corpus content.,product_issue
TICKET_9,answered,assessments,see response,"organizations set the cut-offs. **What if I take multiple assessments that assess the same skill?** The Skill Rating would be based on the results from the most recent assessment taken. This will help us keep the Skill Rating accurate and up-to-date to enable your decision-making process. **How can I access past Skill Ratings?** In the profile of an employee, you can go to the Skill Details sectio",The answer was grounded in retrieved corpus content.,product_issue
TICKET_10,answered,assessments,see response,"# Using Virtual Lobby in HackerRank Interviews _Last updated: Dec 24, 2024, 7:31 AM (Last updated 1 year ago)_ ## Overview Did you know that you can use a single interview link for doing multiple interviews with the candidate? Many users are already using it and it has saved a lot of time. *Here is how :* Scheduling HackerRank interviews with candidates and multiple interviewers using a single int",The answer was grounded in retrieved corpus content.,product_issue
TICKET_11,answered,assessments,see response,"in Slack, but Claude won't have awareness of them if you reconnect #### Disconnecting the Slack connector You can also disconnect the Slack connector from your Claude settings (or you can enable/disable the connector for an individual chat): 1. Go to[ ](https://claude.ai/settings/integrations)claude.ai/settings/connectors 2. Find **Slack** in your list of Connectors. 3. Click the menu (...) and se",The answer was grounded in retrieved corpus content.,product_issue
TICKET_12,answered,assessments,see response,"HackerRank Interview add-on. When you use HackerRank Interview as the last add-on, joining information for the other add-on will be available in the meeting description. ### I am unable to see Interviewer details within the Interview generated on HackerRank. When you generate a HackerRank Interview link through any calendar add-ons, we just synchronize the details about who generated the interview",The answer was grounded in retrieved corpus content.,product_issue
TICKET_13,answered,assessments,see response,"# Pause Subscription _Last updated: Mar 6, 2026, 12:18 AM (Last updated 2 months ago)_ The **Pause Subscription** feature allows individual self-serve plan subscribers to temporarily pause their HackerRank subscription instead of canceling it. This feature enables you to resume your subscription whenever needed, ensuring flexibility and uninterrupted access when required. ### Prerequisites To use",The answer was grounded in retrieved corpus content.,product_issue
TICKET_14,escalated,plans,escalated:sanitizer,This case has been escalated for human review.,The drafted response was not safe or corpus-grounded.,feature_request
TICKET_15,escalated,payments,escalated:security,This case has been escalated for human review.,fraud,product_issue
TICKET_16,answered,assessments,see response,"# Create a Resume with Resume Builder _Last updated: Mar 7, 2025, 4:17 PM (Last updated 1 year ago)_ The HackerRank Resume Builder is a powerful tool that helps you create a professional resume in just a few steps. It allows you to showcase your skills, achievements, and certifications to stand out to potential employers. ## Creating a resume with Resume Builder You can create a resume in one of t",The answer was grounded in retrieved corpus content.,product_issue
TICKET_17,answered,assessments,see response,"# Certifications FAQs _Last updated: Apr 1, 2026, 2:32 PM (Last updated 4 weeks ago)_ **Can I update the name on my certificate?** Yes. You can update the name on your certificate only once per account. When you update your name, the change applies to all your certificates. After you update it, you cannot change it again. To update the name on your certificate: ![Untitled 1434.gif](https://assets.",The answer was grounded in retrieved corpus content.,product_issue
TICKET_18,escalated,billing,escalated:sanitizer,This case has been escalated for human review.,The drafted response was not safe or corpus-grounded.,product_issue
TICKET_19,answered,plans,see response,"# Automated Security Reviews in Claude Code _Last updated: 2026-03-16T20:48:20Z_ Claude Code now includes automated security review features to help you identify and fix vulnerabilities in your code. This guide explains how to use the /security-review command and GitHub Actions to improve your code security. > **Note:** While automated security reviews help identify many common vulnerabilities, th",The answer was grounded in retrieved corpus content.,product_issue
